session_id,station_name,start_ts,end_ts,energy_kwh,ghg_savings_kg,port_type,plug_type,fee,ended_by,latitude,longitude,user_id
89,PALO ALTO CA / BRYANT #2,2011-10-21T13:55:00.000Z,2011-10-21T17:43:00.000Z,13.922402,5.847,Level 2,J1772,0.0,Plug Out at Vehicle,37.446373,-122.162331,5717
90,PALO ALTO CA / HAMILTON #1,2011-10-21T20:27:00.000Z,2011-10-21T20:39:00.000Z,0.582948,0.245,Level 2,J1772,0.0,Plug Out at Vehicle,37.444572,-122.160309,4217
91,PALO ALTO CA / HIGH #4,2011-10-22T13:34:00.000Z,2011-10-22T14:09:00.000Z,1.278987,0.537,Level 2,J1772,0.0,Plug Out at Vehicle,37.443676,-122.16288,3573
92,PALO ALTO CA / HAMILTON #2,2011-10-22T13:38:00.000Z,2011-10-22T14:13:00.000Z,1.998306,0.839,Level 2,J1772,0.0,Plug Out at Vehicle,37.444607,-122.160263,2828
93,PALO ALTO CA / HAMILTON #1,2011-10-22T17:21:00.000Z,2011-10-22T20:18:00.000Z,15.973374,6.709,Level 2,J1772,0.0,Customer,37.444572,-122.160309,6804
94,PALO ALTO CA / HAMILTON #2,2011-10-25T09:26:00.000Z,2011-10-25T10:13:00.000Z,2.662615,1.118,Level 2,J1772,0.0,Plug Out at Vehicle,37.444607,-122.160263,6093
95,PALO ALTO CA / HAMILTON #2,2011-10-25T16:45:00.000Z,2011-10-25T18:20:00.000Z,2.56203,1.076,Level 2,J1772,0.0,Customer,37.444607,-122.160263,5460
96,PALO ALTO CA / HAMILTON #1,2011-10-25T17:06:00.000Z,2011-10-25T18:49:00.000Z,5.065728,2.128,Level 2,J1772,0.0,Plug Out at Vehicle,37.444572,-122.160309,4217
97,PALO ALTO CA / HAMILTON #1,2011-10-26T13:51:00.000Z,2011-10-26T16:08:00.000Z,12.073284,5.071,Level 2,J1772,0.0,Customer,37.444572,-122.160309,6804
98,PALO ALTO CA / HAMILTON #2,2011-10-26T18:03:00.000Z,2011-10-26T22:12:00.000Z,12.123421,5.092,Level 2,J1772,0.0,Plug Out at Vehicle,37.444607,-122.160263,4169
99,PALO ALTO CA / HAMILTON #2,2011-10-27T07:40:00.000Z,2011-10-27T09:04:00.000Z,4.824821,2.026,Level 2,J1772,0.0,Plug Out at Vehicle,37.444607,-122.160263,4385
100,PALO ALTO CA / HAMILTON #1,2011-10-27T14:39:00.000Z,2011-10-27T14:46:00.000Z,0.417202,0.175,Level 2,J1772,0.0,Plug Out at Vehicle,37.444572,-122.160309,1729
101,PALO ALTO CA / HAMILTON #1,2011-10-27T15:38:00.000Z,2011-10-27T17:10:00.000Z,5.282727,2.219,Level 2,J1772,0.0,Customer,37.444572,-122.160309,4703
102,PALO ALTO CA / HAMILTON #1,2011-10-27T21:15:00.000Z,2011-10-28T07:55:00.000Z,9.564808,4.017,Level 2,J1772,0.0,Plug Out at Vehicle,37.444572,-122.160309,2670
103,PALO ALTO CA / HAMILTON #2,2011-10-28T05:47:00.000Z,2011-10-28T10:31:00.000Z,16.55583,6.953,Level 2,J1772,0.0,Customer,37.444607,-122.160263,4447
104,PALO ALTO CA / BRYANT #2,2011-10-28T16:49:00.000Z,2011-10-28T17:57:00.000Z,4.135013,1.737,Level 2,J1772,0.0,Plug Out at Vehicle,37.446373,-122.162331,5717
105,PALO ALTO CA / HAMILTON #2,2011-10-29T10:12:00.000Z,2011-10-29T11:09:00.000Z,2.788289,1.171,Level 2,J1772,0.0,Customer,37.444607,-122.160263,6980
106,PALO ALTO CA / HAMILTON #2,2011-10-31T08:50:00.000Z,2011-10-31T11:56:00.000Z,10.751269,4.516,Level 2,J1772,0.0,Plug Out at Vehicle,37.444607,-122.160263,5717
107,PALO ALTO CA / BRYANT #1,2011-11-01T10:07:00.000Z,2011-11-01T12:55:00.000Z,10.189188,4.279,Level 2,J1772,0.0,Customer,37.446373,-122.162331,6860
108,PALO ALTO CA / BRYANT #2,2011-11-02T08:33:00.000Z,2011-11-02T11:37:00.000Z,8.323636,3.496,Level 2,J1772,0.0,Plug Out at Vehicle,37.446373,-122.162331,5717
109,PALO ALTO CA / BRYANT #2,2011-11-02T12:44:00.000Z,2011-11-02T15:44:00.000Z,7.447696,3.128,Level 2,J1772,0.0,Plug Out at Vehicle,37.446373,-122.162331,2670
110,PALO ALTO CA / HAMILTON #1,2011-11-04T08:41:00.000Z,2011-11-04T11:42:00.000Z,10.495164,4.408,Level 2,J1772,0.0,Customer,37.444572,-122.160309,5717
111,PALO ALTO CA / BRYANT #2,2011-11-04T19:54:00.000Z,2011-11-04T21:49:00.000Z,7.003572,2.942,Level 2,J1772,0.0,Plug Out at Vehicle,37.446373,-122.162331,4402
112,PALO ALTO CA / HAMILTON #1,2011-11-05T09:16:00.000Z,2011-11-05T11:34:00.000Z,5.406053,2.271,Level 2,J1772,0.0,Plug Out at Vehicle,37.444572,-122.160309,2670
113,PALO ALTO CA / BRYANT #2,2011-11-05T13:26:00.000Z,2011-11-05T13:50:00.000Z,1.180855,0.496,Level 2,J1772,0.0,Customer,37.446373,-122.162331,7078
114,PALO ALTO CA / HIGH #4,2011-11-05T15:55:00.000Z,2011-11-05T18:13:00.000Z,7.806266,3.279,Level 2,J1772,0.0,Customer,37.443676,-122.16288,3513
115,PALO ALTO CA / HAMILTON #1,2011-11-05T16:55:00.000Z,2011-11-05T20:57:00.000Z,11.460163,4.813,Level 2,J1772,0.0,Plug Out at Vehicle,37.444572,-122.160309,2670
116,PALO ALTO CA / HAMILTON #2,2011-11-06T13:12:00.000Z,2011-11-06T15:06:00.000Z,6.638437,2.788,Level 2,J1772,0.0,Plug Out at Vehicle,37.444607,-122.160263,6752
117,PALO ALTO CA / HAMILTON #2,2011-11-06T16:42:00.000Z,2011-11-06T17:14:00.000Z,1.826432,0.767,Level 2,J1772,0.0,Plug Out at Vehicle,37.444607,-122.160263,2545
118,PALO ALTO CA / BRYANT #1,2011-11-07T12:30:00.000Z,2011-11-07T13:15:00.000Z,2.722236,1.143,Level 2,J1772,0.0,Customer,37.446373,-122.162331,5717
119,PALO ALTO CA / BRYANT #2,2011-11-07T12:38:00.000Z,2011-11-07T14:46:00.000Z,7.339169,3.082,Level 2,J1772,0.0,Customer,37.446373,-122.162331,4703
120,PALO ALTO CA / HAMILTON #2,2011-11-07T13:51:00.000Z,2011-11-07T14:50:00.000Z,3.385753,1.422,Level 2,J1772,0.0,Plug Out at Vehicle,37.444607,-122.160263,7188
121,PALO ALTO CA / HAMILTON #2,2011-11-08T11:59:00.000Z,2011-11-08T14:57:00.000Z,6.516523,2.737,Level 2,J1772,0.0,Plug Out at Vehicle,37.444607,-122.160263,4964
122,PALO ALTO CA / HAMILTON #1,2011-11-08T14:02:00.000Z,2011-11-08T17:22:00.000Z,11.652188,4.894,Level 2,J1772,0.0,Customer,37.444572,-122.160309,4703
123,PALO ALTO CA / HIGH #4,2011-11-08T18:07:00.000Z,2011-11-08T18:16:00.000Z,0.533778,0.224,Level 2,J1772,0.0,Customer,37.443676,-122.16288,6356
124,PALO ALTO CA / BRYANT #2,2011-11-08T19:31:00.000Z,2011-11-08T22:01:00.000Z,9.25924,3.889,Level 2,J1772,0.0,Customer,37.446373,-122.162331,0
125,PALO ALTO CA / HIGH #4,2011-11-09T09:02:00.000Z,2011-11-09T12:02:00.000Z,5.418671,2.276,Level 2,J1772,0.0,Customer,37.443676,-122.16288,6860
126,PALO ALTO CA / BRYANT #1,2011-11-09T10:39:00.000Z,2011-11-09T14:46:00.000Z,9.775246,4.106,Level 2,J1772,0.0,Customer,37.446373,-122.162331,2584
127,PALO ALTO CA / HAMILTON #2,2011-11-09T12:51:00.000Z,2011-11-09T14:49:00.000Z,5.78931,2.432,Level 2,J1772,0.0,Plug Out at Vehicle,37.444607,-122.160263,111
128,PALO ALTO CA / HAMILTON #1,2011-11-09T15:13:00.000Z,2011-11-09T15:38:00.000Z,1.204171,0.506,Level 2,J1772,0.0,Plug Out at Vehicle,37.444572,-122.160309,4217
129,PALO ALTO CA / HAMILTON #1,2011-11-09T16:25:00.000Z,2011-11-09T17:20:00.000Z,2.667198,1.12,Level 2,J1772,0.0,Plug Out at Vehicle,37.444572,-122.160309,4217
130,PALO ALTO CA / HAMILTON #1,2011-11-10T16:44:00.000Z,2011-11-10T16:50:00.000Z,0.269829,0.113,Level 2,J1772,0.0,Plug Out at Vehicle,37.444572,-122.160309,3210
131,PALO ALTO CA / HIGH #4,2011-11-11T19:28:00.000Z,2011-11-11T19:56:00.000Z,1.733311,0.728,Level 2,J1772,0.0,Plug Out at Vehicle,37.443676,-122.16288,2828
132,PALO ALTO CA / HAMILTON #1,2011-11-12T14:50:00.000Z,2011-11-12T19:07:00.000Z,14.993134,6.297,Level 2,J1772,0.0,Customer,37.444572,-122.160309,4447
133,PALO ALTO CA / HAMILTON #2,2011-11-13T19:07:00.000Z,2011-11-13T20:53:00.000Z,5.203398,2.185,Level 2,J1772,0.0,Customer,37.444607,-122.160263,4344
134,PALO ALTO CA / BRYANT #1,2011-11-13T21:01:00.000Z,2011-11-14T06:59:00.000Z,11.701217,4.915,Level 2,J1772,0.0,Plug Out at Vehicle,37.446373,-122.162331,2670
135,PALO ALTO CA / HAMILTON #2,2011-11-14T07:37:00.000Z,2011-11-14T10:19:00.000Z,9.363331,3.933,Level 2,J1772,0.0,Customer,37.444607,-122.160263,6020
136,PALO ALTO CA / HAMILTON #2,2011-11-14T17:27:00.000Z,2011-11-14T20:34:00.000Z,10.830387,4.549,Level 2,J1772,0.0,Customer,37.444607,-122.160263,3190
